,cname,ccodealp,ht_region,gle_cgdpc,undp_hdi,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
23,Brunei,BRN,SouthEastAsia,46103.84,0.86400002,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
33,Sri Lanka,LKA,SouthAsia,5466.8701,0.764,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956
99,Liechtenstein,LIE,WesternDem,102243.52,0.91100001,,,,,
21,Belize,BLZ,Caribbean,6649.1401,0.70599997,0.3499999940395355,15.69999980926514,6.5799999,,5.788949966430664
121,Netherlands,NLD,WesternDem,42258.352,0.92299998,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031
169,Syria,SYR,NorthAfrica,4284.4199,0.55299997,,14.19999980926514,0.75999999,,3.254531145095825
26,Burundi,BDI,SubSaharian,663.57001,0.40599999,,66.9000015258789,4.1599998,,7.535565376281738
7,Argentina,ARG,LatAm,15102.61,0.82599998,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176
70,Guinea,GIN,SubSaharian,993.83002,0.414,11.74499988555908,65.19999694824219,0.22,,5.644797801971436
141,Qatar,QAT,NorthAfrica,104049.44,0.85500002,2.045000076293945,6.300000190734863,1.15,,2.18706226348877
93,Laos,LAO,SouthEastAsia,2926.77,0.58200002,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728
133,Papua New Guinea,PNG,Pacific,1693.54,0.51499999,6.880000114440918,,0.88,,4.263570785522461
135,Peru,PER,LatAm,9227.1504,0.73699999,30.80900001525879,14.10000038146973,5.3800001,,5.473034858703613
